nibble,sign,decoded_value,zero_kind,cpu_expected,gpu_observed,absolute_error,pass_fail,blocking_reason
0x0,positive,+0,positive_zero,+0,,,NOT_RUN,SM120 GPU unavailable
0x1,positive,0.5,not_zero,0.5,,,NOT_RUN,SM120 GPU unavailable
0x2,positive,1,not_zero,1,,,NOT_RUN,SM120 GPU unavailable
0x3,positive,1.5,not_zero,1.5,,,NOT_RUN,SM120 GPU unavailable
0x4,positive,2,not_zero,2,,,NOT_RUN,SM120 GPU unavailable
0x5,positive,3,not_zero,3,,,NOT_RUN,SM120 GPU unavailable
0x6,positive,4,not_zero,4,,,NOT_RUN,SM120 GPU unavailable
0x7,positive,6,not_zero,6,,,NOT_RUN,SM120 GPU unavailable
0x8,negative,-0,negative_zero,-0,,,NOT_RUN,SM120 GPU unavailable
0x9,negative,-0.5,not_zero,-0.5,,,NOT_RUN,SM120 GPU unavailable
0xa,negative,-1,not_zero,-1,,,NOT_RUN,SM120 GPU unavailable
0xb,negative,-1.5,not_zero,-1.5,,,NOT_RUN,SM120 GPU unavailable
0xc,negative,-2,not_zero,-2,,,NOT_RUN,SM120 GPU unavailable
0xd,negative,-3,not_zero,-3,,,NOT_RUN,SM120 GPU unavailable
0xe,negative,-4,not_zero,-4,,,NOT_RUN,SM120 GPU unavailable
0xf,negative,-6,not_zero,-6,,,NOT_RUN,SM120 GPU unavailable
