a_format,b_format,a_nibble,b_nibble,k,a_scale,b_scale,accumulator_initial,cpu_expected,gpu_observed,absolute_error,pass_fail,blocking_reason
e2m1,e2m1,0x0,0x0,64,1.0,1.0,0.0,+0,,,NOT_RUN,SM120 GPU unavailable
e2m1,e2m1,0x0,0x1,64,1.0,1.0,0.0,+0,,,NOT_RUN,SM120 GPU unavailable
e2m1,e2m1,0x0,0x2,64,1.0,1.0,0.0,+0,,,NOT_RUN,SM120 GPU unavailable
e2m1,e2m1,0x0,0x3,64,1.0,1.0,0.0,+0,,,NOT_RUN,SM120 GPU unavailable
e2m1,e2m1,0x0,0x4,64,1.0,1.0,0.0,+0,,,NOT_RUN,SM120 GPU unavailable
e2m1,e2m1,0x0,0x5,64,1.0,1.0,0.0,+0,,,NOT_RUN,SM120 GPU unavailable
e2m1,e2m1,0x0,0x6,64,1.0,1.0,0.0,+0,,,NOT_RUN,SM120 GPU unavailable
e2m1,e2m1,0x0,0x7,64,1.0,1.0,0.0,+0,,,NOT_RUN,SM120 GPU unavailable
e2m1,e2m1,0x0,0x8,64,1.0,1.0,0.0,+0,,,NOT_RUN,SM120 GPU unavailable
e2m1,e2m1,0x0,0x9,64,1.0,1.0,0.0,+0,,,NOT_RUN,SM120 GPU unavailable
e2m1,e2m1,0x0,0xa,64,1.0,1.0,0.0,+0,,,NOT_RUN,SM120 GPU unavailable
e2m1,e2m1,0x0,0xb,64,1.0,1.0,0.0,+0,,,NOT_RUN,SM120 GPU unavailable
e2m1,e2m1,0x0,0xc,64,1.0,1.0,0.0,+0,,,NOT_RUN,SM120 GPU unavailable
e2m1,e2m1,0x0,0xd,64,1.0,1.0,0.0,+0,,,NOT_RUN,SM120 GPU unavailable
e2m1,e2m1,0x0,0xe,64,1.0,1.0,0.0,+0,,,NOT_RUN,SM120 GPU unavailable
e2m1,e2m1,0x0,0xf,64,1.0,1.0,0.0,+0,,,NOT_RUN,SM120 GPU unavailable
e2m1,e2m1,0x1,0x0,64,1.0,1.0,0.0,+0,,,NOT_RUN,SM120 GPU unavailable
e2m1,e2m1,0x1,0x1,64,1.0,1.0,0.0,16,,,NOT_RUN,SM120 GPU unavailable
e2m1,e2m1,0x1,0x2,64,1.0,1.0,0.0,32,,,NOT_RUN,SM120 GPU unavailable
e2m1,e2m1,0x1,0x3,64,1.0,1.0,0.0,48,,,NOT_RUN,SM120 GPU unavailable
e2m1,e2m1,0x1,0x4,64,1.0,1.0,0.0,64,,,NOT_RUN,SM120 GPU unavailable
e2m1,e2m1,0x1,0x5,64,1.0,1.0,0.0,96,,,NOT_RUN,SM120 GPU unavailable
