claim,shape,stock_tflops,candidate_tflops,formula,recomputed_percent,source_status
k_tile_mixed,1024^3,282.6,274.5,(stock-candidate)/stock,2.866242,UNVERIFIED_AGGREGATE_ONLY
k_tile_mixed,2048^3,797.4,777.4,(stock-candidate)/stock,2.508151,UNVERIFIED_AGGREGATE_ONLY
k_tile_mixed,4096^3,1206.7,1165.9,(stock-candidate)/stock,3.381122,UNVERIFIED_AGGREGATE_ONLY
k_tile_mixed,8192^3,1401.8,1387.6,(stock-candidate)/stock,1.012983,UNVERIFIED_AGGREGATE_ONLY
k_tile_mixed,4096x4096x16384,1289.5,1254.0,(stock-candidate)/stock,2.753005,UNVERIFIED_AGGREGATE_ONLY
k_tile_mixed,8192x8192x2048,1258.1,1195.9,(stock-candidate)/stock,4.943963,UNVERIFIED_AGGREGATE_ONLY
k_tile_mixed,16384x16384x2048,1313.8,1249.0,(stock-candidate)/stock,4.932258,UNVERIFIED_AGGREGATE_ONLY
one_sided_B_adaptive,4096^3,1207.0,1176.5,stock/candidate-1,2.592435,UNVERIFIED_AGGREGATE_ONLY
one_sided_A_adaptive,4096^3,1208.0,1200.8,stock/candidate-1,0.599600,UNVERIFIED_AGGREGATE_ONLY
two_sided_fine,4096^3,1205.8,887.6,stock/candidate-1,35.849482,UNVERIFIED_AGGREGATE_ONLY
per_mma_bad,4096^3,1207.0,504.0,(stock-candidate)/stock,58.243579,UNVERIFIED_AGGREGATE_ONLY
